title,note,pub_date,link
2007 Admin & Support & Waste Mgmt & Remediation Svcs (NAICS Sector 56),These data tables are for the Administrative and Support and Waste Management and Remediation Services.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/aswmrs-services.html
2007 Health Care and Social Assistance (NAICS Sector 62),These data tables are for the Health Care and Social Assistance sector.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/health-care-social-assistance.html
2002 Utilities (NAICS Sector 22),These data tables are for the Utilities sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/utilities.html
2002 Construction (NAICS Sector 23),These data tables are for the Constructions sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/construction.html
2002 Wholesale Trade (NAICS Sector 42),These data tables are for the Wholesale Trade sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/wholesale-trade.html
2002 Retail Trade (NAICS Sector 44-45),These data tables are for the Retail Trade sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/retail-trade.html
2002 Information (NAICS Sector 51),These data tables are for the Information sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/information.html
Administrative and Support and Waste Management and Remediation Services,These data tables are for the Administrative and Support and Waste Management and Remediation Services.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/aswmrs-services.html
2002 Health Care and Social Assistance (NAICS Sector 62),These data tables are for the Health Care and Social Assistance sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/health-care-social-assistance.html
2002 Accommodation and Food Services (NAICS Sector 72),These data tables are for the Accommodation and Food Services sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/accommodation-food-services.html
2002 Other Services (Except Public Administration) (NAICS Sector 81),These data tables are for Other Services (Except Public Administration).,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/other-services.html
Core Business Statistics Series,These data tables are for all sectors.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/core-business-statistics-series.html
2002 Mining (NAICS Sector 21),"These data tables are for Mining, Quarrying, and Oil and Gas Extraction.",2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/mining-reports.html
2002 Manufacturing (NAICS Sector 31-33),These data tables are for the Manufacturing sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/manufacturing-reports.html
2002 Transportation and Warehousing (NAICS Sector 48-49),These data tables are for the Transportation and Warehousing sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/transportation-warehousing.html
2002 Finance and Insurance (NAICS Sector 52),These data tables are for the Finance and Insurance sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/finance-insurance.html
2002 Real Estate and Rental and Leasing (NAICS Sector 53),These data tables are for the Real Estate and Leasing sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/real-estate-rental-leasing.html
"2002 Professional, Scientific, and Technical Svcs (NAICS Sector 54)","These data tables are for the Professional, Scientific, and Technical Services sector.",2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/professional-scientific-technical-services.html
2002 Management of Companies and Enterprises (NAICS Sector 55),These data tables are for the Management of Companies Enterprises sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/management-companies-enterprises.html
2002 Educational Services (NAICS Sector 61),These data tables are for the Educational Services sector.,2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/educational-services.html
"2002 Arts, Entertainment, and Recreation (NAICS Sector 71)","These data tables are for the Arts, Entertainment and Recreation sector.",2002,https://www.census.gov/content/census/en/data/tables/2002/econ/census/arts-entertainment-recreation-industries.html
1992 Economic Census of Island Areas - Puerto Rico,"View tables for the 1992 Economic Census of Island Areas for Puerto Rico, including tables on Manufactures, Construction, Wholesale, Retail, & Services sectors.",1992,https://www.census.gov/content/census/en/data/tables/1992/econ/census/island-areas.html
1947 - 1992 Economic Census Manufacturing Concentration Ratios,View and download the table for 1947 - 1992 Economic Census Manufacturing Concentration Ratios.,1992,https://www.census.gov/content/census/en/data/tables/1992/econ/census/concentraion-ratio-data.html
